timestamp,protocol,src_ip,dst_ip,src_port,dst_port,packet_size,flags,ttl,payload_size
2025-12-11 01:16:10.912927,TCP,5.161.7.195,10.10.2.10,443,50731,1414,A,51,1348
2025-12-11 01:16:10.913110,TCP,195.187.242.79,10.10.2.10,443,50708,1414,A,115,1348
2025-12-11 01:16:10.913248,TCP,5.161.7.195,10.10.2.10,443,50731,1414,PA,51,1348
2025-12-11 01:16:10.913375,TCP,195.187.242.79,10.10.2.10,443,50708,1414,A,115,1348
2025-12-11 01:16:10.913496,TCP,10.10.2.10,195.187.242.79,50708,443,66,A,64,0
2025-12-11 01:16:10.913598,TCP,10.10.2.10,5.161.7.195,50731,443,66,A,64,0
2025-12-11 01:16:10.923040,TCP,5.161.7.195,10.10.2.10,443,50731,1414,A,51,1348
2025-12-11 01:16:10.923219,TCP,195.187.242.79,10.10.2.10,443,50708,1414,PA,115,1348
2025-12-11 01:16:10.923355,TCP,5.161.7.195,10.10.2.10,443,50731,1414,PA,51,1348
2025-12-11 01:16:10.923483,TCP,195.187.242.79,10.10.2.10,443,50708,1414,A,115,1348
2025-12-11 01:16:10.923608,TCP,5.161.7.195,10.10.2.10,443,50731,1414,A,51,1348
2025-12-11 01:16:10.923726,TCP,10.10.2.10,195.187.242.79,50708,443,66,A,64,0
2025-12-11 01:16:10.923825,TCP,10.10.2.10,5.161.7.195,50731,443,66,A,64,0
2025-12-11 01:16:10.933169,TCP,195.187.242.79,10.10.2.10,443,50708,1414,A,115,1348
2025-12-11 01:16:10.933297,TCP,5.161.7.195,10.10.2.10,443,50731,1414,PA,51,1348
2025-12-11 01:16:10.933414,TCP,195.187.242.79,10.10.2.10,443,50708,1414,A,115,1348
2025-12-11 01:16:10.933550,TCP,5.161.7.195,10.10.2.10,443,50731,1414,A,51,1348
2025-12-11 01:16:10.933667,TCP,195.187.242.79,10.10.2.10,443,50708,1414,PA,115,1348
2025-12-11 01:16:10.933774,TCP,10.10.2.10,195.187.242.79,50708,443,66,A,64,0
2025-12-11 01:16:10.933868,TCP,10.10.2.10,5.161.7.195,50731,443,66,A,64,0
2025-12-11 01:16:10.943069,TCP,5.161.7.195,10.10.2.10,443,50731,1414,PA,51,1348
2025-12-11 01:16:10.943236,TCP,195.187.242.79,10.10.2.10,443,50708,1414,A,115,1348
2025-12-11 01:16:10.943368,TCP,5.161.7.195,10.10.2.10,443,50731,1414,A,51,1348
2025-12-11 01:16:10.943493,TCP,195.187.242.79,10.10.2.10,443,50708,1414,A,115,1348
2025-12-11 01:16:10.943628,TCP,10.10.2.10,195.187.242.79,50708,443,66,A,64,0
2025-12-11 01:16:10.944842,TCP,5.161.7.195,10.10.2.10,443,50731,1414,PA,51,1348
2025-12-11 01:16:10.945064,TCP,10.10.2.10,5.161.7.195,50731,443,66,A,64,0
2025-12-11 01:16:10.945220,TCP,195.187.242.79,10.10.2.10,443,50708,1414,A,115,1348
2025-12-11 01:16:10.945392,TCP,5.161.7.195,10.10.2.10,443,50731,1414,A,51,1348
2025-12-11 01:16:10.945523,TCP,195.187.242.79,10.10.2.10,443,50708,1414,PA,115,1348
2025-12-11 01:16:10.945674,TCP,5.161.7.195,10.10.2.10,443,50731,1414,PA,51,1348
2025-12-11 01:16:10.945777,TCP,10.10.2.10,5.161.7.195,50731,443,66,A,64,0
2025-12-11 01:16:10.945907,TCP,10.10.2.10,195.187.242.79,50708,443,66,A,64,0
2025-12-11 01:16:10.953234,TCP,195.187.242.79,10.10.2.10,443,50708,1414,A,115,1348
2025-12-11 01:16:10.953381,TCP,5.161.7.195,10.10.2.10,443,50731,1414,A,51,1348
2025-12-11 01:16:10.953494,TCP,104.208.16.95,10.10.2.10,443,50735,74,SAE,102,0
2025-12-11 01:16:10.953612,TCP,195.187.242.79,10.10.2.10,443,50708,1414,A,115,1348
2025-12-11 01:16:10.953732,TCP,5.161.7.195,10.10.2.10,443,50731,1414,PA,51,1348
2025-12-11 01:16:10.953850,TCP,195.187.242.79,10.10.2.10,443,50708,1414,A,115,1348
2025-12-11 01:16:10.953962,TCP,10.10.2.10,104.208.16.95,50735,443,66,A,64,0
2025-12-11 01:16:10.954080,TCP,10.10.2.10,104.208.16.95,50735,443,583,PA,64,517
2025-12-11 01:16:10.954181,TCP,10.10.2.10,195.187.242.79,50708,443,66,A,64,0
2025-12-11 01:16:10.954276,TCP,10.10.2.10,5.161.7.195,50731,443,66,A,64,0
2025-12-11 01:16:10.964114,TCP,5.161.7.195,10.10.2.10,443,50731,1414,A,51,1348
2025-12-11 01:16:10.964262,TCP,195.187.242.79,10.10.2.10,443,50708,1414,PA,115,1348
2025-12-11 01:16:10.964391,TCP,5.161.7.195,10.10.2.10,443,50731,1414,A,51,1348
2025-12-11 01:16:10.964512,TCP,195.187.242.79,10.10.2.10,443,50708,1414,A,115,1348
2025-12-11 01:16:10.964627,TCP,10.10.2.10,195.187.242.79,50708,443,66,A,64,0
2025-12-11 01:16:10.964726,TCP,10.10.2.10,5.161.7.195,50731,443,66,A,64,0
2025-12-11 01:16:10.973376,TCP,5.161.7.195,10.10.2.10,443,50731,1414,PA,51,1348
2025-12-11 01:16:10.973524,TCP,195.187.242.79,10.10.2.10,443,50708,1414,A,115,1348
2025-12-11 01:16:10.973655,TCP,5.161.7.195,10.10.2.10,443,50731,1414,A,51,1348
2025-12-11 01:16:10.973772,TCP,195.187.242.79,10.10.2.10,443,50708,1414,A,115,1348
2025-12-11 01:16:10.973887,TCP,5.161.7.195,10.10.2.10,443,50731,1414,PA,51,1348
2025-12-11 01:16:10.973994,TCP,10.10.2.10,195.187.242.79,50708,443,66,A,64,0
2025-12-11 01:16:10.974088,TCP,10.10.2.10,5.161.7.195,50731,443,66,A,64,0
2025-12-11 01:16:10.983539,TCP,195.187.242.79,10.10.2.10,443,50708,1414,PA,115,1348
2025-12-11 01:16:10.998821,TCP,5.161.7.195,10.10.2.10,443,50731,1414,A,51,1348
2025-12-11 01:16:10.999195,TCP,195.187.242.79,10.10.2.10,443,50708,1414,A,115,1348
2025-12-11 01:16:10.999469,TCP,5.161.7.195,10.10.2.10,443,50731,1414,PA,51,1348
2025-12-11 01:16:10.999648,TCP,195.187.242.79,10.10.2.10,443,50708,1414,A,115,1348
2025-12-11 01:16:11.000016,TCP,10.10.2.10,195.187.242.79,50708,443,66,A,64,0
2025-12-11 01:16:11.000147,TCP,10.10.2.10,5.161.7.195,50731,443,66,A,64,0
2025-12-11 01:16:11.000275,TCP,5.161.7.195,10.10.2.10,443,50731,1414,A,51,1348
2025-12-11 01:16:11.000435,TCP,195.187.242.79,10.10.2.10,443,50708,1414,A,115,1348
2025-12-11 01:16:11.000598,TCP,5.161.7.195,10.10.2.10,443,50731,1414,PA,51,1348
2025-12-11 01:16:11.000717,TCP,195.187.242.79,10.10.2.10,443,50708,1414,PA,115,1348
2025-12-11 01:16:11.000818,TCP,10.10.2.10,195.187.242.79,50708,443,66,A,64,0
2025-12-11 01:16:11.000916,TCP,10.10.2.10,5.161.7.195,50731,443,66,A,64,0
2025-12-11 01:16:11.003591,TCP,5.161.7.195,10.10.2.10,443,50731,1414,A,51,1348
2025-12-11 01:16:11.003742,TCP,195.187.242.79,10.10.2.10,443,50708,1414,A,115,1348
2025-12-11 01:16:11.004032,TCP,5.161.7.195,10.10.2.10,443,50731,1414,PA,51,1348
2025-12-11 01:16:11.004183,TCP,195.187.242.79,10.10.2.10,443,50708,1414,A,115,1348
2025-12-11 01:16:11.004309,TCP,5.161.7.195,10.10.2.10,443,50731,1414,A,51,1348
2025-12-11 01:16:11.004436,TCP,10.10.2.10,195.187.242.79,50708,443,66,A,64,0
2025-12-11 01:16:11.004532,TCP,10.10.2.10,5.161.7.195,50731,443,66,A,64,0
2025-12-11 01:16:11.013604,TCP,195.187.242.79,10.10.2.10,443,50708,1414,A,115,1348
2025-12-11 01:16:11.013740,TCP,5.161.7.195,10.10.2.10,443,50731,1414,PA,51,1348
2025-12-11 01:16:11.013864,TCP,195.187.242.79,10.10.2.10,443,50708,1414,PA,115,1348
2025-12-11 01:16:11.013988,TCP,5.161.7.195,10.10.2.10,443,50731,1414,A,51,1348
2025-12-11 01:16:11.014101,TCP,10.10.2.10,195.187.242.79,50708,443,66,A,64,0
