src_ip,packet_count,unique_dst_ips,unique_dst_ports,avg_packet_size,std_packet_size,total_bytes,tcp_count,udp_count,icmp_count,avg_ttl,unique_protocols,packet_rate
10.10.2.10,111,13,4,307.44144144144144,460.9774335767364,34126,102,9,0,64.0,2,8.377974983064792
17.248.213.68,46,1,3,520.4347826086956,562.9102810760012,23940,46,0,0,49.0,1,3.4865590118303493
208.103.161.2,8,1,2,85.75,23.78925327597677,686,8,0,0,51.0,1,6.301405686073421
142.251.9.207,2,1,1,66.0,0.0,132,2,0,0,117.0,1,2331.0023310023307
17.57.146.57,2,1,1,243.5,251.02290732122438,487,2,0,0,49.0,1,63.27712215648432
34.36.57.103,1,1,1,66.0,,66,1,0,0,117.0,1,1.0
160.79.104.10,3,1,3,66.0,0.0,198,3,0,0,51.0,1,7425.742574257426
208.103.161.1,1,1,1,66.0,,66,1,0,0,51.0,1,1.0
2.19.198.219,1,1,1,66.0,,66,1,0,0,49.0,1,1.0
142.251.9.188,1,1,1,66.0,,66,1,0,0,117.0,1,1.0
140.82.114.26,3,1,1,74.66666666666667,15.01110699893027,224,3,0,0,238.0,1,0.5433646661549378
10.128.128.128,1,1,1,134.0,,134,0,1,0,64.0,1,1.0
104.18.32.47,70,1,1,1139.7,516.2865553608547,79779,70,0,0,51.0,1,77.18652896589899
